Date,Invoice,Barcode,City, Units Sold , Invoice Total ,Salesperson ID
3-Jan-16,FA63841,XRG527H52J,Paris, 1 , $11 ,S-2705
7-Jan-16,FA79121,XRG527H52J,Toulouse, 1 , $11 ,S-3776
13-Jan-16,FA13246,GFRT45FRD2,Brussels, 8 , $96 ,S-9952
19-Jan-16,FA37931,GFRT45FRD2,Antwerp, 8 , $96 ,S-3557
21-Jan-16,FA89343,HG74477GF1,Marseille, 2 , $26 ,S-4823
24-Jan-16,FA79910,HG74477GF1,Paris, 2 , $26 ,S-2705
30-Jan-16,FA40846,GFRT45FRD2,Paris, 7 , $84 ,S-2705
3-Feb-16,FA10448,GFRT45FRD2,Valencia, 7 , $84 ,S-7526
7-Feb-16,FA56828,HG74477GF1,Marseille, 8 , $104 ,S-4823
11-Feb-16,FA42203,HG74477GF1,Madrid, 8 , $104 ,S-1768
13-Feb-16,FA85422,XRG527H52J,Antwerp, 2 , $22 ,S-3557
16-Feb-16,FA29680,XRG527H52J,Brussels, 2 , $22 ,S-9952
21-Feb-16,FA84366,GFRT45FRD2,Zurich, 5 , $60 ,S-7393
23-Feb-16,FA28058,GFRT45FRD2,Berlin, 5 , $60 ,S-4636
1-Mar-16,FA85907,HG74477GF1,Lyon, 2 , $26 ,S-6290
2-Mar-16,FA96343,HG74477GF1,Paris, 2 , $26 ,S-2705
13-Mar-16,FA21091,GFRT45FRD2,Geneva, 8 , $96 ,S-3274
14-Mar-16,FA90342,GFRT45FRD2,Zurich, 8 , $96 ,S-7393
23-Mar-16,FA37217,GFRT45FRD2,Lyon, 7 , $84 ,S-6290
27-Mar-16,FA53201,GFRT45FRD2,Barcelona, 7 , $84 ,S-8500
28-Mar-16,FA12927,HG74477GF1,Toulouse, 2 , $26 ,S-3776
31-Mar-16,FA85420,HG74477GF1,Marseille, 2 , $26 ,S-4823
3-Apr-16,FA28422,GFRT45FRD2,Brussels, 8 , $96 ,S-9952
8-Apr-16,FA98872,GFRT45FRD2,Antwerp, 8 , $96 ,S-3557
12-Apr-16,FA22947,HG74477GF1,Antwerp, 1 , $13 ,S-3557
15-Apr-16,FA56408,HG74477GF1,Brussels, 1 , $13 ,S-9952
16-Apr-16,FA54386,XRG527H52J,Berlin, 8 , $88 ,S-4636
22-Apr-16,FA65340,XRG527H52J,Geneva, 8 , $88 ,S-3274
23-Apr-16,FA14371,XRG527H52J,Paris, 6 , $66 ,S-2705
24-Apr-16,FA44418,XRG527H52J,Lyon, 6 , $66 ,S-6290
30-Apr-16,FA51808,HG74477GF1,Brussels, 5 , $65 ,S-9952
2-May-16,FA12150,HG74477GF1,Antwerp, 5 , $65 ,S-3557
9-May-16,FA77796,GFRT45FRD2,Antwerp, 7 , $84 ,S-3557
12-May-16,FA21565,GFRT45FRD2,Brussels, 7 , $84 ,S-9952
16-May-16,FA98736,XRG527H52J,Brussels, 5 , $55 ,S-9952
20-May-16,FA59190,XRG527H52J,Antwerp, 5 , $55 ,S-3557
25-May-16,FA96085,GFRT45FRD2,Antwerp, 1 , $12 ,S-3557
30-May-16,FA59422,GFRT45FRD2,Toulouse, 4 , $48 ,S-3776
31-May-16,FA11817,GFRT45FRD2,Brussels, 1 , $12 ,S-9952
3-Jun-16,FA23027,GFRT45FRD2,Valencia, 4 , $48 ,S-7526
4-Jun-16,FA13696,GFRT45FRD2,Paris, 7 , $84 ,S-2705
6-Jun-16,FA97597,GFRT45FRD2,Madrid, 7 , $84 ,S-1768
13-Jun-16,FA27443,XRG527H52J,Zurich, 3 , $33 ,S-7393
19-Jun-16,FA70697,XRG527H52J,Berlin, 3 , $33 ,S-4636
21-Jun-16,FA13073,GFRT45FRD2,Brussels, 2 , $24 ,S-9952
25-Jun-16,FA62340,GFRT45FRD2,Antwerp, 2 , $24 ,S-3557
26-Jun-16,FA48932,GFRT45FRD2,Antwerp, 6 , $72 ,S-3557
29-Jun-16,FA79865,GFRT45FRD2,Brussels, 6 , $72 ,S-9952
2-Jul-16,FA15845,XRG527H52J,Geneva, 6 , $66 ,S-3274
3-Jul-16,FA86772,XRG527H52J,Zurich, 6 , $66 ,S-7393
8-Jul-16,FA49080,HG74477GF1,Paris, 2 , $26 ,S-2705
11-Jul-16,FA14847,HG74477GF1,Toulouse, 2 , $26 ,S-3776
12-Jul-16,FA43861,GFRT45FRD2,Brussels, 4 , $48 ,S-9952
17-Jul-16,FA93706,GFRT45FRD2,Antwerp, 4 , $48 ,S-3557
19-Jul-16,FA34684,HG74477GF1,Antwerp, 1 , $13 ,S-3557
22-Jul-16,FA68899,HG74477GF1,Brussels, 1 , $13 ,S-9952
26-Jul-16,FA61719,GFRT45FRD2,Marseille, 1 , $12 ,S-4823
31-Jul-16,FA22782,XRG527H52J,Brussels, 2 , $22 ,S-9952
